Type,Product,Started Data,Completed Data,Description,Amount,Fee,Currency,State,Balence
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
CARD_Payment,Current,2024-01-08 20:18:58,Shop,ii,-13.27,0.00,INR,COMPLETED,19.79
